largest                  	 JJS	                      0.0 #761
devastating              	  JJ	                      0.0 #330
closer                   	 JJR	                      0.0 #223
gm-free                  	  JJ	                      0.0 #575
cold                     	  JJ	                      0.0 #225
legitimate               	  JJ	                      0.0 #776
undetected               	  JJ	                      0.0 #1453
contradictory            	  JJ	                      0.0 #269
closest                  	 JJS	                      0.0 #224
marine                   	  JJ	                      0.0 #825
bacterial                	  JJ	                      0.0 #127
free                     	  JJ	                      0.0 #532
ok                       	  JJ	                      0.0 #961
pink                     	  JJ	                      0.0 #1028
food-like                	  JJ	                      0.0 #517
funded                   	  JJ	                      0.0 #547
somewhere                	  RB	                      0.0 #1300
sublethal                	  JJ	                      0.0 #1346
multiple                 	  JJ	                      0.0 #877
earliest                 	 JJS	                      0.0 #378
potent                   	  JJ	                      0.0 #1050
domestic                 	  JJ	                      0.0 #358
fascinating              	  JJ	                      0.0 #480
plant-derived            	  JJ	                      0.0 #1031
peer-reviewed            	  JJ	                      0.0 #1006
undoubtedly              	  RB	                      0.0 #1454
vegetative               	  JJ	                      0.0 #1520
direct                   	  JJ	                      0.0 #344
familiar                 	  JJ	                      0.0 #474
inherently               	  RB	                      0.0 #707
safe                     	  JJ	                      0.0 #1209
asian                    	  JJ	                      0.0 #109
fertile                  	  JJ	                      0.0 #498
conventional             	  JJ	                      0.0 #275
rational                 	  JJ	                      0.0 #1137
glowing                  	  JJ	                      0.0 #570
unbiased                 	  JJ	                      0.0 #1443
unsound                  	  JJ	                      0.0 #1492
competent                	  JJ	                      0.0 #239
constant                 	  JJ	                      0.0 #260
fluorescent              	  JJ	                      0.0 #514
painful                  	  JJ	                      0.0 #993
responsible              	  JJ	                      0.0 #1179
comfortable              	  JJ	                      0.0 #229
soft                     	  JJ	                      0.0 #1290
fundamentally            	  RB	                      0.0 #546
cisgenic                 	  JJ	                      0.0 #209
amazing                  	  JJ	                      0.0 #70
insect                   	  JJ	                      0.0 #711
unforeseen               	  JJ	                      0.0 #1461
careful                  	  JJ	                      0.0 #190
wrong                    	  JJ	                      0.0 #1579
positively               	  RB	                      0.0 #1046
phytic                   	  JJ	                      0.0 #1027
therapeutic              	  JJ	                      0.0 #1393
daily                    	  JJ	                      0.0 #301
empty                    	  JJ	                      0.0 #405
like-minded              	  JJ	                      0.0 #786
undergraduate            	  JJ	                      0.0 #1449
steady                   	  JJ	                      0.0 #1325
french                   	  JJ	                      0.0 #534
environmentally          	  RB	                      0.0 #419
misguided                	  JJ	                      0.0 #857
life-threatening         	  JJ	                      0.0 #783
accurate                 	  JJ	                      0.0 #22
constantly               	  RB	                      0.0 #261
factual                  	  JJ	                      0.0 #469
restrictive              	  JJ	                      0.0 #1182
worth                    	  JJ	                      0.0 #1576
theoretically            	  RB	                      0.0 #1392
harmless                 	  JJ	                      0.0 #603
interestingly            	  RB	                      0.0 #730
crazy                    	  JJ	                      0.0 #288
located                  	  JJ	                      0.0 #801
exactly                  	  RB	                      0.0 #446
inflammatory             	  JJ	                      0.0 #702
roughly                  	  RB	                      0.0 #1197
anecdotal                	  JJ	                      0.0 #76
acinar                   	  JJ	                      0.0 #24
full                     	  JJ	                      0.0 #542
safely                   	  RB	                      0.0 #1210
somewhat                 	  RB	                      0.0 #1299
worldwide                	  RB	                      0.0 #1570
ecological               	  JJ	                      0.0 #386
pervasive                	  JJ	                      0.0 #1017
infinitely               	  RB	                      0.0 #701
non-biotech              	  JJ	                      0.0 #914
unapproved               	  JJ	                      0.0 #1440
quick                    	  JJ	                      0.0 #1123
dangerous                	  JJ	                      0.0 #304
industrialized           	  JJ	                      0.0 #692
diagnostic               	  JJ	                      0.0 #334
damaging                 	  JJ	                      0.0 #303
usual                    	  JJ	                      0.0 #1512
additionally             	  RB	                      0.0 #32
marginal                 	  JJ	                      0.0 #824
historically             	  RB	                      0.0 #629
odd                      	  JJ	                      0.0 #957
typical                  	  JJ	                      0.0 #1429
toxicological            	  JJ	                      0.0 #1413
inadequate               	  JJ	                      0.0 #668
earlier                  	 JJR	                      0.0 #377
virus-resistant          	  JJ	                      0.0 #1530
relevant                 	  JJ	                      0.0 #1163
farmed                   	  JJ	                      0.0 #479
sub-saharan              	  JJ	                      0.0 #1344
anywhere                 	  RB	                      0.0 #93
high                     	  JJ	                      0.0 #619
sad                      	  JJ	                      0.0 #1207
progressive              	  JJ	                      0.0 #1097
prepared                 	  JJ	                      0.0 #1069
precisely                	  RB	                      0.0 #1060
raw                      	  JJ	                      0.0 #1138
encouraging              	  JJ	                      0.0 #406
simulated                	  JJ	                      0.0 #1265
spatial                  	  JJ	                      0.0 #1309
anti-biotech             	  JJ	                      0.0 #80
nearly                   	  RB	                      0.0 #891
efficient                	  JJ	                      0.0 #394
financially              	  RB	                      0.0 #505
definitely               	  RB	                      0.0 #314
exciting                 	  JJ	                      0.0 #451
indirect                 	  JJ	                      0.0 #687
american                 	  JJ	                      0.0 #71
susceptible              	  JJ	                      0.0 #1372
criminal                 	  JJ	                      0.0 #291
incredible               	  JJ	                      0.0 #678
attractive               	  JJ	                      0.0 #112
suddenly                 	  RB	                      0.0 #1356
official                 	  JJ	                      0.0 #958
happy                    	  JJ	                      0.0 #595
illegal                  	  JJ	                      0.0 #651
white                    	  JJ	                      0.0 #1553
geographic               	  JJ	                      0.0 #563
firmly                   	  RB	                      0.0 #508
rapid                    	  JJ	                      0.0 #1132
badly                    	  RB	                      0.0 #129
exact                    	  JJ	                      0.0 #445
established              	  JJ	                      0.0 #430
significantly            	  RB	                      0.0 #1257
ultrastructural          	  JJ	                      0.0 #1434
